Library                               Size (B)      Time_ns
OpenSSL_1_1_1_AES128GCM                     16        35684
OpenSSL_1_1_1_AES128GCM                     16        36609
OpenSSL_1_1_1_AES128GCM                     16        38810
OpenSSL_1_1_1_AES128GCM                     16        37393
OpenSSL_1_1_1_AES128GCM                     16        35192
OpenSSL_1_1_1_AES128GCM                     16        36236
OpenSSL_1_1_1_AES128GCM                     16        37061
OpenSSL_1_1_1_AES128GCM                     16        35968
OpenSSL_1_1_1_AES128GCM                     16        36514
OpenSSL_1_1_1_AES128GCM                     16        38138
OpenSSL_1_1_1_AES128GCM                     16        35662
OpenSSL_1_1_1_AES128GCM                     16        35888
OpenSSL_1_1_1_AES128GCM                     16        34706
OpenSSL_1_1_1_AES128GCM                     16        36004
OpenSSL_1_1_1_AES128GCM                     16        34992
OpenSSL_1_1_1_AES128GCM                     16        35465
OpenSSL_1_1_1_AES128GCM                     16        37599
OpenSSL_1_1_1_AES128GCM                     16        34795
OpenSSL_1_1_1_AES128GCM                     16        35849
OpenSSL_1_1_1_AES128GCM                     16        35135
OpenSSL_1_1_1_AES128GCM                     16        35433
OpenSSL_1_1_1_AES128GCM                     16        34630
OpenSSL_1_1_1_AES128GCM                     16        35758
OpenSSL_1_1_1_AES128GCM                     16        37054
OpenSSL_1_1_1_AES128GCM                     16        35841
OpenSSL_1_1_1_AES128GCM                     16        35616
OpenSSL_1_1_1_AES128GCM                     16        34690
OpenSSL_1_1_1_AES128GCM                     16        36400
OpenSSL_1_1_1_AES128GCM                     16        35473
OpenSSL_1_1_1_AES128GCM                     16        35229
OpenSSL_1_1_1_AES128GCM                     16        34826
OpenSSL_1_1_1_AES128GCM                     16        35868
OpenSSL_1_1_1_AES128GCM                     16        37434
OpenSSL_1_1_1_AES128GCM                     16        35932
OpenSSL_1_1_1_AES128GCM                     16        38485
OpenSSL_1_1_1_AES128GCM                     16        36210
OpenSSL_1_1_1_AES128GCM                     16        36017
OpenSSL_1_1_1_AES128GCM                     16        38056
OpenSSL_1_1_1_AES128GCM                     16        36189
OpenSSL_1_1_1_AES128GCM                     16        37514
OpenSSL_1_1_1_AES128GCM                     16        36505
OpenSSL_1_1_1_AES128GCM                     16        35889
OpenSSL_1_1_1_AES128GCM                     16        38578
OpenSSL_1_1_1_AES128GCM                     16        40798
OpenSSL_1_1_1_AES128GCM                     16        35654
OpenSSL_1_1_1_AES128GCM                     16        36894
OpenSSL_1_1_1_AES128GCM                     16        37490
OpenSSL_1_1_1_AES128GCM                     16        36084
OpenSSL_1_1_1_AES128GCM                     16        36155
OpenSSL_1_1_1_AES128GCM                     16        35877
OpenSSL_1_1_1_AES128GCM                     16        66202
OpenSSL_1_1_1_AES128GCM                     16        35946
OpenSSL_1_1_1_AES128GCM                     16        35480
OpenSSL_1_1_1_AES128GCM                     16        34859
OpenSSL_1_1_1_AES128GCM                     16        37057
OpenSSL_1_1_1_AES128GCM                     16        35801
OpenSSL_1_1_1_AES128GCM                     16        37201
OpenSSL_1_1_1_AES128GCM                     16        40281
OpenSSL_1_1_1_AES128GCM                     16        34900
OpenSSL_1_1_1_AES128GCM                     16        36292
OpenSSL_1_1_1_AES128GCM                     16        36531
OpenSSL_1_1_1_AES128GCM                     16        37062
OpenSSL_1_1_1_AES128GCM                     16        35681
OpenSSL_1_1_1_AES128GCM                     16        37622
OpenSSL_1_1_1_AES128GCM                     16        35807
OpenSSL_1_1_1_AES128GCM                     16        35506
OpenSSL_1_1_1_AES128GCM                     16        38875
OpenSSL_1_1_1_AES128GCM                     16        41238
OpenSSL_1_1_1_AES128GCM                     16        39553
OpenSSL_1_1_1_AES128GCM                     16        35591
OpenSSL_1_1_1_AES128GCM                     16        35105
OpenSSL_1_1_1_AES128GCM                     16        34300
OpenSSL_1_1_1_AES128GCM                     16        37477
OpenSSL_1_1_1_AES128GCM                     16        37068
OpenSSL_1_1_1_AES128GCM                     16        34497
OpenSSL_1_1_1_AES128GCM                     16        36515
OpenSSL_1_1_1_AES128GCM                     16        33682
OpenSSL_1_1_1_AES128GCM                     16        36532
OpenSSL_1_1_1_AES128GCM                     16        35436
OpenSSL_1_1_1_AES128GCM                     16        37323
OpenSSL_1_1_1_AES128GCM                     16        36504
OpenSSL_1_1_1_AES128GCM                     16        35940
OpenSSL_1_1_1_AES128GCM                     16        35358
OpenSSL_1_1_1_AES128GCM                     16        36862
OpenSSL_1_1_1_AES128GCM                     16        33627
OpenSSL_1_1_1_AES128GCM                     16        36284
OpenSSL_1_1_1_AES128GCM                     16        35057
OpenSSL_1_1_1_AES128GCM                     16        37277
OpenSSL_1_1_1_AES128GCM                     16        35796
OpenSSL_1_1_1_AES128GCM                     16        37541
OpenSSL_1_1_1_AES128GCM                     16        35711
OpenSSL_1_1_1_AES128GCM                     16        36134
OpenSSL_1_1_1_AES128GCM                     16        35567
OpenSSL_1_1_1_AES128GCM                     16        37110
OpenSSL_1_1_1_AES128GCM                     16        35565
OpenSSL_1_1_1_AES128GCM                     16        38073
OpenSSL_1_1_1_AES128GCM                     16        37611
OpenSSL_1_1_1_AES128GCM                     16        35417
OpenSSL_1_1_1_AES128GCM                     16        37068
OpenSSL_1_1_1_AES128GCM                     16        36632
OpenSSL_1_1_1_AES128GCM                     16        39780
OpenSSL_1_1_1_AES128GCM                     16        35110
OpenSSL_1_1_1_AES128GCM                     16        36772
OpenSSL_1_1_1_AES128GCM                     16        36956
OpenSSL_1_1_1_AES128GCM                     16        34054
OpenSSL_1_1_1_AES128GCM                     16        41706
OpenSSL_1_1_1_AES128GCM                     16        41182
OpenSSL_1_1_1_AES128GCM                     16        35467
OpenSSL_1_1_1_AES128GCM                     16        35190
OpenSSL_1_1_1_AES128GCM                     16        35585
OpenSSL_1_1_1_AES128GCM                     16        39293
OpenSSL_1_1_1_AES128GCM                     16        37888
OpenSSL_1_1_1_AES128GCM                     16        32568
OpenSSL_1_1_1_AES128GCM                     16        35691
OpenSSL_1_1_1_AES128GCM                     16        38175
OpenSSL_1_1_1_AES128GCM                     16        36169
OpenSSL_1_1_1_AES128GCM                     16        35056
OpenSSL_1_1_1_AES128GCM                     16        36081
OpenSSL_1_1_1_AES128GCM                     16        37508
OpenSSL_1_1_1_AES128GCM                     16        41219
OpenSSL_1_1_1_AES128GCM                     16        39335
OpenSSL_1_1_1_AES128GCM                     16        37693
OpenSSL_1_1_1_AES128GCM                     16        36546
OpenSSL_1_1_1_AES128GCM                     16        37798
OpenSSL_1_1_1_AES128GCM                     16        37420
OpenSSL_1_1_1_AES128GCM                     16        35444
OpenSSL_1_1_1_AES128GCM                     16        35754
OpenSSL_1_1_1_AES128GCM                     16        34804
OpenSSL_1_1_1_AES128GCM                     16        36756
OpenSSL_1_1_1_AES128GCM                     16        37971
OpenSSL_1_1_1_AES128GCM                     16        35150
OpenSSL_1_1_1_AES128GCM                     16        38446
